epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8604,2.28621,4.25841,1.87288,0.64879,0.02534,0.02589,0.01091,2.22845,3.06322,1.81936,0.0700411,0.00332877,0.00332877
2,200.37,2.08349,3.297,1.72783,0.69996,0.03879,0.04158,0.01852,2.11505,3.01007,1.79395,0.0400191,0.00664012,0.00664012
3,298.679,2.08379,3.11669,1.72686,0.5223,0.05447,0.05422,0.02523,2.05815,2.96886,1.84322,0.00997513,0.00992946,0.00992946
4,397.883,2.05547,2.97545,1.71783,0.50818,0.04932,0.04784,0.02138,2.18544,5.41616,1.89474,0.009901,0.009901,0.009901
5,493.591,2.02239,2.79676,1.6923,0.52698,0.08552,0.06633,0.0323,2.01812,2.85929,1.76115,0.009868,0.009868,0.009868
6,590.195,1.9807,2.62027,1.66411,0.49517,0.13243,0.10006,0.05203,2.05283,3.33156,1.83127,0.009835,0.009835,0.009835
7,684.616,1.95983,2.49836,1.63944,0.38991,0.13038,0.10375,0.05402,1.93083,2.33142,1.73526,0.009802,0.009802,0.009802
8,780.487,1.94732,2.43085,1.63708,0.42203,0.12722,0.10579,0.05456,2.00003,2.44836,1.74929,0.009769,0.009769,0.009769
9,875.314,1.92617,2.36923,1.61299,0.41731,0.16022,0.12727,0.06734,1.96281,2.32514,1.74929,0.009736,0.009736,0.009736
10,970.532,1.92377,2.29355,1.60802,0.40836,0.18154,0.15768,0.08557,1.92927,2.23373,1.70075,0.009703,0.009703,0.009703
11,1065.02,1.91203,2.24899,1.60335,0.52441,0.164,0.15699,0.08269,1.95667,2.22938,1.7005,0.00967,0.00967,0.00967
12,1158.54,1.89785,2.21,1.59347,0.47556,0.19997,0.17865,0.09631,1.87547,2.11966,1.66767,0.009637,0.009637,0.009637
13,1252.57,1.88391,2.16122,1.58296,0.48164,0.20163,0.18777,0.10114,1.90638,2.12557,1.67503,0.009604,0.009604,0.009604
14,1347.89,1.88745,2.12857,1.58211,0.56897,0.22113,0.20899,0.11458,1.90846,2.09349,1.65762,0.009571,0.009571,0.009571
