epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.703,2.03809,3.11122,1.73581,0.58361,0.10231,0.06932,0.0352,2.03308,inf,1.83823,0.0700865,0.00332373,0.00332373
2,337.468,1.89157,2.39653,1.58009,0.50208,0.12351,0.07437,0.0362,2.06549,inf,1.72756,0.0400645,0.00663509,0.00663509
3,513.125,1.93877,2.46406,1.61569,0.42038,0.03872,0.02509,0.00981,2.69268,inf,2.1396,0.0100205,0.00992446,0.00992446
4,720.848,1.9901,2.52854,1.64206,0.52408,0.07653,0.08268,0.04285,2.10588,inf,1.78872,0.009901,0.009901,0.009901
5,922.63,1.93009,2.27752,1.61295,0.35434,0.11203,0.08995,0.0478,2.1045,inf,1.86153,0.009868,0.009868,0.009868
6,1171.27,1.89192,2.12317,1.57343,0.50533,0.15719,0.14005,0.07549,1.95962,inf,1.74599,0.009835,0.009835,0.009835
7,1567.42,1.87324,2.08007,1.56333,0.53616,0.18612,0.17483,0.09686,1.94808,inf,1.75744,0.009802,0.009802,0.009802
8,1740.78,1.85068,2.00583,1.55219,0.53288,0.19703,0.18168,0.10139,1.86621,inf,1.70254,0.009769,0.009769,0.009769
9,2058.8,1.82556,1.91751,1.53074,0.51822,0.18786,0.19401,0.10841,1.87855,inf,1.72704,0.009736,0.009736,0.009736
10,2223.16,1.82038,1.88524,1.52666,0.51943,0.24693,0.21875,0.12128,1.84698,1.99208,1.68679,0.009703,0.009703,0.009703
11,2399.21,1.80071,1.84709,1.51227,0.48447,0.24221,0.22936,0.12699,1.85121,inf,1.64165,0.00967,0.00967,0.00967
12,2591.73,1.78419,1.79639,1.52027,0.6266,0.23817,0.24666,0.14173,1.8093,1.9645,1.65154,0.009637,0.009637,0.009637
13,2775.34,1.78412,1.76671,1.50304,0.53099,0.24449,0.22924,0.13019,1.77512,1.95228,1.63383,0.009604,0.009604,0.009604
14,2950.43,1.76911,1.74705,1.50315,0.48926,0.26941,0.24682,0.13777,1.83337,inf,1.6434,0.009571,0.009571,0.009571
15,3148.26,1.75809,1.71013,1.4967,0.50325,0.26755,0.27001,0.15461,1.7833,1.88135,1.63232,0.009538,0.009538,0.009538
16,3356.85,1.74533,1.68196,1.48409,0.47861,0.29199,0.26521,0.15137,1.79359,1.85313,1.61361,0.009505,0.009505,0.009505
17,3851.86,1.75158,1.68474,1.49268,0.61678,0.25283,0.26558,0.15214,1.88106,inf,1.64275,0.009472,0.009472,0.009472
18,4046.79,1.74443,1.6457,1.47199,0.53548,0.28761,0.26307,0.1498,1.83076,inf,1.60239,0.009439,0.009439,0.009439
19,4225.06,1.74111,1.64064,1.46385,0.55076,0.29541,0.29596,0.17095,1.7853,1.79481,1.59902,0.009406,0.009406,0.009406
20,4462.8,1.73379,1.60536,1.46021,0.59617,0.2785,0.29591,0.16841,1.79462,1.76379,1.60393,0.009373,0.009373,0.009373
21,4648.49,1.72545,1.60365,1.47048,0.58101,0.27903,0.28879,0.16457,1.75215,1.79696,1.59325,0.00934,0.00934,0.00934
22,4895.84,1.71852,1.60072,1.4689,0.5448,0.30054,0.31535,0.18168,1.77397,1.76371,1.59636,0.009307,0.009307,0.009307
23,5221.37,1.71502,1.56534,1.45451,0.49022,0.31485,0.31609,0.18246,1.74241,1.72298,1.5828,0.009274,0.009274,0.009274
24,5438.7,1.70631,1.56175,1.45294,0.48094,0.31066,0.30387,0.17971,1.71385,1.73544,1.56036,0.009241,0.009241,0.009241
25,5620.7,1.69429,1.5412,1.45411,0.43682,0.3136,0.31752,0.18439,1.71237,1.71622,1.56008,0.009208,0.009208,0.009208
26,5830.51,1.69962,1.53017,1.44594,0.49781,0.33054,0.31715,0.18366,1.71877,1.7084,1.5905,0.009175,0.009175,0.009175
27,5996.08,1.69953,1.5202,1.44257,0.58084,0.33128,0.33586,0.1966,1.73079,1.7066,1.55431,0.009142,0.009142,0.009142
28,6170.9,1.69006,1.51751,1.43697,0.49529,0.32891,0.32443,0.19039,1.74246,1.70694,1.55386,0.009109,0.009109,0.009109
29,6341.65,1.67979,1.5141,1.43176,0.59709,0.33627,0.35715,0.20961,1.75011,1.64082,1.55835,0.009076,0.009076,0.009076
30,6767.11,1.67534,1.48852,1.4264,0.49491,0.36063,0.34095,0.20205,1.70121,1.66069,1.54721,0.009043,0.009043,0.009043
31,7178.5,1.6708,1.47355,1.42743,0.45872,0.36411,0.33249,0.19502,1.71819,1.67572,1.55386,0.00901,0.00901,0.00901
32,7361.84,1.67676,1.48455,1.42342,0.48466,0.36219,0.33916,0.19828,1.70457,1.63291,1.54181,0.008977,0.008977,0.008977
33,7522.14,1.66516,1.4653,1.4294,0.51039,0.36618,0.3486,0.20461,1.69134,1.63688,1.53604,0.008944,0.008944,0.008944
34,7702.9,1.66056,1.45791,1.42998,0.50813,0.37608,0.35807,0.20778,1.69043,1.62647,1.54034,0.008911,0.008911,0.008911
